representation,predictor,split,group,trial,tag,model_detail,hidden,depth,dropout,lr,weight_decay,batch_size,max_epochs,best_epoch,device,val_rmse,external_rmse,n,rmse,mae,r2,bias,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,reg_alpha,reg_lambda,max_bin,params,method,k,weights,metric
mordred__ecfp,xgb,External,all,37,all6_bad_pair_alt_head,XGBRegressor,,,,,,,,,,0.8287473535279701,1.2943216949641738,2251,1.2943216949641738,0.8760639429092407,0.5798251032829285,-0.0979204177856445,1800.0,6.0,0.0469465874782669,0.6,0.7,2.0,6.804608875768856e-06,3.356620580339294,256.0,,,,,
mordred__ecfp,xgb,External,all6_bad,37,all6_bad_pair_alt_head,XGBRegressor,,,,,,,,,,0.8287473535279701,1.2943216949641738,256,3.010677251570244,2.763710021972656,-0.1894539594650268,-0.7792690992355347,1800.0,6.0,0.0469465874782669,0.6,0.7,2.0,6.804608875768856e-06,3.356620580339294,256.0,,,,,
mordred__ecfp,xgb,External,not_all6_bad,37,all6_bad_pair_alt_head,XGBRegressor,,,,,,,,,,0.8287473535279701,1.2943216949641738,1995,0.8527120478070966,0.6338396072387695,0.7922802567481995,-0.0104892188683152,1800.0,6.0,0.0469465874782669,0.6,0.7,2.0,6.804608875768856e-06,3.356620580339294,256.0,,,,,
mordred__ecfp,mlp,Train,all,4,all6_bad_pair_alt_head,TorchMLP,256.0,4.0,0.0,0.002263724395245,1.0437156664069185e-07,256.0,360.0,24.0,cuda:0,0.9135867453877964,1.325546409295237,6437,0.4377518678186328,0.3124277889728546,0.9640377163887024,0.0420921742916107,,,,,,,,,,,,,,
mordred__ecfp,mlp,Train,not_all6_bad,4,all6_bad_pair_alt_head,TorchMLP,256.0,4.0,0.0,0.002263724395245,1.0437156664069185e-07,256.0,360.0,24.0,cuda:0,0.9135867453877964,1.325546409295237,6437,0.4377518678186328,0.3124277889728546,0.9640377163887024,0.0420921742916107,,,,,,,,,,,,,,
mordred__ecfp,mlp,Val,all,4,all6_bad_pair_alt_head,TorchMLP,256.0,4.0,0.0,0.002263724395245,1.0437156664069185e-07,256.0,360.0,24.0,cuda:0,0.9135867453877964,1.325546409295237,1610,0.9135867453877964,0.645241379737854,0.8426934480667114,0.0520889721810817,,,,,,,,,,,,,,
mordred__ecfp,mlp,Val,all6_bad,4,all6_bad_pair_alt_head,TorchMLP,256.0,4.0,0.0,0.002263724395245,1.0437156664069185e-07,256.0,360.0,24.0,cuda:0,0.9135867453877964,1.325546409295237,74,2.3379233604185305,2.156552314758301,0.4713072180747986,-0.2069112807512283,,,,,,,,,,,,,,
mordred__ecfp,mlp,Val,not_all6_bad,4,all6_bad_pair_alt_head,TorchMLP,256.0,4.0,0.0,0.002263724395245,1.0437156664069185e-07,256.0,360.0,24.0,cuda:0,0.9135867453877964,1.325546409295237,1536,0.7819980473286672,0.5724308490753174,0.8791362643241882,0.0645668432116508,,,,,,,,,,,,,,
mordred__ecfp,mlp,External,all,4,all6_bad_pair_alt_head,TorchMLP,256.0,4.0,0.0,0.002263724395245,1.0437156664069185e-07,256.0,360.0,24.0,cuda:0,0.9135867453877964,1.325546409295237,2251,1.325546409295237,0.9346601366996764,0.5593076944351196,-0.0647722631692886,,,,,,,,,,,,,,
mordred__ecfp,mlp,External,all6_bad,4,all6_bad_pair_alt_head,TorchMLP,256.0,4.0,0.0,0.002263724395245,1.0437156664069185e-07,256.0,360.0,24.0,cuda:0,0.9135867453877964,1.325546409295237,256,2.964616166176719,2.7265734672546387,-0.1533368825912475,-0.6750473976135254,,,,,,,,,,,,,,
