representation,predictor,split,group,trial,model_detail,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,reg_alpha,reg_lambda,val_rmse,external_rmse,n,rmse,mae,r2,bias,params,hidden,depth,dropout,lr,weight_decay,batch_size,max_epochs,best_epoch,device,method,k,weights,metric
mordred,knn_svm,Train,all,5,KNeighborsRegressor,,,,,,,,,1.0672719005208662,1.3186143204912608,6437,0.0020130108918451,3.838349806215149e-05,0.9999992395279088,-1.28846749239722e-07,,,,,,,,,,,sklearn_knn,10.0,distance,cosine
mordred,knn_svm,Train,not_all6_bad,5,KNeighborsRegressor,,,,,,,,,1.0672719005208662,1.3186143204912608,6437,0.0020130108918451,3.838349806215149e-05,0.9999992395279088,-1.28846749239722e-07,,,,,,,,,,,sklearn_knn,10.0,distance,cosine
mordred,knn_svm,Val,all,5,KNeighborsRegressor,,,,,,,,,1.0672719005208662,1.3186143204912608,1610,1.0672719005208662,0.7598123645881387,0.785317186729688,0.0104721449549824,,,,,,,,,,,sklearn_knn,10.0,distance,cosine
mordred,knn_svm,Val,all6_bad,5,KNeighborsRegressor,,,,,,,,,1.0672719005208662,1.3186143204912608,74,2.5345655075208997,2.318871460276077,0.3786306019347888,-0.3791703606225751,,,,,,,,,,,sklearn_knn,10.0,distance,cosine
mordred,knn_svm,Val,not_all6_bad,5,KNeighborsRegressor,,,,,,,,,1.0672719005208662,1.3186143204912608,1536,0.9404550432839164,0.6847014446135896,0.8251921784713848,0.0292439844164012,,,,,,,,,,,sklearn_knn,10.0,distance,cosine
mordred,knn_svm,External,all,5,KNeighborsRegressor,,,,,,,,,1.0672719005208662,1.3186143204912608,2251,1.3186143204912608,0.898259479617671,0.5639048868131638,-0.0683472305325264,,,,,,,,,,,sklearn_knn,10.0,distance,cosine
mordred,knn_svm,External,all6_bad,5,KNeighborsRegressor,,,,,,,,,1.0672719005208662,1.3186143204912608,256,2.9271799002385253,2.607113455052968,-0.1243928137625145,-0.8094826242395357,,,,,,,,,,,sklearn_knn,10.0,distance,cosine
mordred,knn_svm,External,not_all6_bad,5,KNeighborsRegressor,,,,,,,,,1.0672719005208662,1.3186143204912608,1995,0.9286328897378846,0.6789779669803597,0.7536451619462416,0.0267558575822577,,,,,,,,,,,sklearn_knn,10.0,distance,cosine
ecfp,xgb,Train,all,1,XGBRegressor,1100.0,6.0,0.0986746171508644,0.7,1.0,1.0,0.0,5.0,1.181216632028607,1.5125221660660668,6437,0.5652202949800191,0.3916107714176178,0.9400448203086852,0.0010358348954468,,,,,,,,,,,,,,
ecfp,xgb,Train,not_all6_bad,1,XGBRegressor,1100.0,6.0,0.0986746171508644,0.7,1.0,1.0,0.0,5.0,1.181216632028607,1.5125221660660668,6437,0.5652202949800191,0.3916107714176178,0.9400448203086852,0.0010358348954468,,,,,,,,,,,,,,
ecfp,xgb,Val,all,1,XGBRegressor,1100.0,6.0,0.0986746171508644,0.7,1.0,1.0,0.0,5.0,1.181216632028607,1.5125221660660668,1610,1.181216632028607,0.8583025932312012,0.7370299696922302,-0.0325358882546424,,,,,,,,,,,,,,
ecfp,xgb,Val,all6_bad,1,XGBRegressor,1100.0,6.0,0.0986746171508644,0.7,1.0,1.0,0.0,5.0,1.181216632028607,1.5125221660660668,74,2.9205711025731844,2.721707582473755,0.1749535202980041,0.0280832722783088,,,,,,,,,,,,,,
ecfp,xgb,Val,not_all6_bad,1,XGBRegressor,1100.0,6.0,0.0986746171508644,0.7,1.0,1.0,0.0,5.0,1.181216632028607,1.5125221660660668,1536,1.025453692721935,0.7685292363166809,0.7921658754348755,-0.0354563444852829,,,,,,,,,,,,,,
ecfp,xgb,External,all,1,XGBRegressor,1100.0,6.0,0.0986746171508644,0.7,1.0,1.0,0.0,5.0,1.181216632028607,1.5125221660660668,2251,1.5125221660660668,1.107545256614685,0.42621511220932,-0.2234273701906204,,,,,,,,,,,,,,
ecfp,xgb,External,all6_bad,1,XGBRegressor,1100.0,6.0,0.0986746171508644,0.7,1.0,1.0,0.0,5.0,1.181216632028607,1.5125221660660668,256,3.227310500369603,2.9941272735595703,-0.3667865991592407,-0.7584776878356934,,,,,,,,,,,,,,
ecfp,xgb,External,not_all6_bad,1,XGBRegressor,1100.0,6.0,0.0986746171508644,0.7,1.0,1.0,0.0,5.0,1.181216632028607,1.5125221660660668,1995,1.115686435236729,0.8654577136039734,0.6444036960601807,-0.1547692567110061,,,,,,,,,,,,,,
