evaluation_id,evaluation,candidate_count_in_evaluation,representation,predictor,n,rmse,mae,bias
R03,TDC OOF,35,atom-level 2D GNN,XGBoost,7985,1.092876694209716,0.7391918447319499,-0.002134068376333123
R03,TDC OOF,35,atom-level 2D GNN,random forest,7985,1.0716667368407449,0.7092881538081188,-0.005113140003083877
R03,TDC OOF,35,atom-level 2D GNN,multilayer perceptron,7985,1.0995014880164502,0.7392454423144146,0.0047968526668503465
R03,TDC OOF,35,atom-level 2D GNN,ridge regression,7985,1.097329677756828,0.7434817008700438,0.00038994648902942927
R03,TDC OOF,35,atom-level 2D GNN,k-nearest neighbours,7985,1.0841002121805534,0.7267774300743024,0.004879226914391149
R03,TDC OOF,35,BRICS-subgroup GNN,XGBoost,7985,1.077089579354084,0.7621784074065373,0.006652977714264254
R03,TDC OOF,35,BRICS-subgroup GNN,random forest,7985,1.0645826494735942,0.7368762613266874,0.004233477134113626
R03,TDC OOF,35,BRICS-subgroup GNN,multilayer perceptron,7985,1.073568999087231,0.7552804801513464,0.007755233874702571
R03,TDC OOF,35,BRICS-subgroup GNN,ridge regression,7985,1.0781495039484414,0.7644500779936694,-0.00011597031509704882
R03,TDC OOF,35,BRICS-subgroup GNN,k-nearest neighbours,7985,1.0892421293059702,0.7621629891538872,0.01460234268098785
R03,TDC OOF,35,Murcko-subgroup GNN,XGBoost,7985,1.1471828361397296,0.8067019134881653,0.002938935558747652
R03,TDC OOF,35,Murcko-subgroup GNN,random forest,7985,1.1274902461247116,0.7774528674152414,0.002020893964184143
R03,TDC OOF,35,Murcko-subgroup GNN,multilayer perceptron,7985,1.1624062301946636,0.8100324234271459,0.020435673644819033
R03,TDC OOF,35,Murcko-subgroup GNN,ridge regression,7985,1.1676314001549415,0.8131160078182981,0.0014868463609630522
R03,TDC OOF,35,Murcko-subgroup GNN,k-nearest neighbours,7985,1.1392013550496292,0.7782276033345061,0.019621249832607168
R04,TDC supplied test,35,Mordred,XGBoost,1997,1.1414435212879053,0.8334876579285397,0.012212134280373531
R04,TDC supplied test,35,Mordred,random forest,1997,1.1267514682341997,0.8144718932107348,-0.008552708177526758
R04,TDC supplied test,35,Mordred,multilayer perceptron,1997,1.1151150645948762,0.8028684518531798,0.03243564158255381
R04,TDC supplied test,35,Mordred,ridge regression,1997,1.2242548929095654,0.8755588350290636,0.031585098543354985
R04,TDC supplied test,35,Mordred,k-nearest neighbours,1997,1.3184624119259745,0.9769768295883405,0.04145175652668635
R04,TDC supplied test,35,ECFP,XGBoost,1997,1.728308149793083,1.3755877759311919,0.26957971277626935
R04,TDC supplied test,35,ECFP,random forest,1997,1.7014357821502915,1.3456183975104987,0.30128196289628495
R04,TDC supplied test,35,ECFP,multilayer perceptron,1997,1.493845185682148,1.1588883929868201,0.2869813209379669
R04,TDC supplied test,35,ECFP,ridge regression,1997,1.640694916958703,1.2862488820822833,0.14432131574798196
R04,TDC supplied test,35,ECFP,k-nearest neighbours,1997,1.7200894798269142,1.3496383937404843,0.288354426565615
R04,TDC supplied test,35,ChemBERTa,XGBoost,1997,1.10774137395875,0.8050885611260991,0.05788951678424634
R04,TDC supplied test,35,ChemBERTa,random forest,1997,1.1005761382812573,0.7972421208645025,0.037546044752780304
R04,TDC supplied test,35,ChemBERTa,multilayer perceptron,1997,1.0953978212259297,0.7908281921054662,0.03749502774236153
R04,TDC supplied test,35,ChemBERTa,ridge regression,1997,1.0836196105766849,0.7839307551372459,0.056322439115873785
R04,TDC supplied test,35,ChemBERTa,k-nearest neighbours,1997,1.1401399649379769,0.8349479909591587,0.06735685315647581
R04,TDC supplied test,35,3D-MPNN,XGBoost,1997,1.2528601315406656,0.9358061790892738,0.06316158511443161
R04,TDC supplied test,35,3D-MPNN,random forest,1997,1.2544348981874516,0.9319789966780458,0.04018138254691394
R04,TDC supplied test,35,3D-MPNN,multilayer perceptron,1997,1.1860123196772558,0.8565748355921141,-0.03461550733982377
R04,TDC supplied test,35,3D-MPNN,ridge regression,1997,1.21641967102169,0.8980145314656385,0.02054070657305956
R04,TDC supplied test,35,3D-MPNN,k-nearest neighbours,1997,1.2648834156576707,0.9381204972033405,-0.08965878411129578
R04,TDC supplied test,35,atom-level 2D GNN,XGBoost,1997,1.1372531631965979,0.8167664987992288,0.0989622126952929
R04,TDC supplied test,35,atom-level 2D GNN,random forest,1997,1.1208752261722998,0.8023663652022794,0.07315998858637393
R04,TDC supplied test,35,atom-level 2D GNN,multilayer perceptron,1997,1.1305123220258129,0.8092121679129894,0.061057795856424596
R04,TDC supplied test,35,atom-level 2D GNN,ridge regression,1997,1.1378316949387406,0.8129085512198598,0.08644836163892836
R04,TDC supplied test,35,atom-level 2D GNN,k-nearest neighbours,1997,1.139893431337579,0.8144979305833127,0.10160651086603047
R04,TDC supplied test,35,BRICS-subgroup GNN,XGBoost,1997,1.1179130894553544,0.8356756759879379,0.03798029997940507
R04,TDC supplied test,35,BRICS-subgroup GNN,random forest,1997,1.1128886148480481,0.8284123739573179,0.03688363599398527
R04,TDC supplied test,35,BRICS-subgroup GNN,multilayer perceptron,1997,1.1128024387295,0.8235846027389483,0.030284194037175725
R04,TDC supplied test,35,BRICS-subgroup GNN,ridge regression,1997,1.1165375520356893,0.8314830086741013,0.04114035543620427
