evaluation_id,evaluation,axis,level,level_index,n,sparse_n_lt_100,xgb_evidentiary_status,neural_evidentiary_status,dlg_mae,xgb_mae,neural_mae,delta_mae_xgb,delta_mae_xgb_ci95_low,delta_mae_xgb_ci95_high,delta_mae_neural,delta_mae_neural_ci95_low,delta_mae_neural_ci95_high,bootstrap_seed_xgb,bootstrap_seed_neural
R03,TDC OOF,Rotatable bonds,0,3,1446,False,exploratory_paired_row_bootstrap,exploratory_paired_row_bootstrap,0.8548532851036109,0.9325128920020748,0.9086520839236514,-0.0776596068984637,-0.1058378035078215,-0.0489572482819056,-0.0537987988200404,-0.0813809424418332,-0.026913980982802,20262853,20262854
R03,TDC OOF,Rotatable bonds,1--4,4,4081,False,exploratory_paired_row_bootstrap,exploratory_paired_row_bootstrap,0.5232932622801129,0.5601953085248175,0.5684186797181818,-0.0369020462447046,-0.0453515067890266,-0.0284848176534719,-0.0451254174380689,-0.0530399808951839,-0.0369972936122443,20262863,20262864
R03,TDC OOF,Rotatable bonds,>=5,5,2458,False,exploratory_paired_row_bootstrap,exploratory_paired_row_bootstrap,0.7120666507716475,0.7657956524055329,0.7726447109068348,-0.0537290016338853,-0.0690154183647545,-0.0385543783929577,-0.0605780601351872,-0.0755494844090339,-0.0457640349672317,20262873,20262874
R03,TDC OOF,H-bond donor,no,6,3579,False,exploratory_paired_row_bootstrap,exploratory_paired_row_bootstrap,0.6929111684879915,0.7495321686233251,0.7449326099733167,-0.0566210001353335,-0.0708792040685875,-0.0426655872309821,-0.0520214414853251,-0.0657316460746632,-0.0384380408204582,20262883,20262884
R03,TDC OOF,H-bond donor,yes,7,4406,False,exploratory_paired_row_bootstrap,exploratory_paired_row_bootstrap,0.5996387674087947,0.6432866041839992,0.6506296944162506,-0.0436478367752044,-0.0530067913547225,-0.034309303342492,-0.0509909270074558,-0.0600508099155371,-0.0418780355468726,20262893,20262894
R03,TDC OOF,H-bond acceptor,no,8,899,False,exploratory_paired_row_bootstrap,exploratory_paired_row_bootstrap,0.6924196963183579,0.7430914515221357,0.7472108294266964,-0.0506717552037778,-0.0850819854386531,-0.0167598961012381,-0.0547911331083385,-0.0867242045988504,-0.0232322346439755,20262903,20262904
R03,TDC OOF,H-bond acceptor,yes,9,7086,False,exploratory_paired_row_bootstrap,exploratory_paired_row_bootstrap,0.6349777271001226,0.68428693121919,0.6860070151055462,-0.0493092041190674,-0.0576048050331191,-0.0413107970651313,-0.0510292880054236,-0.0588545994537989,-0.0428787798224771,20262913,20262914
R03,TDC OOF,Aromatic ring,no,10,3675,False,exploratory_paired_row_bootstrap,exploratory_paired_row_bootstrap,0.6922389782921167,0.7513495124371374,0.7496064229427211,-0.0591105341450207,-0.073339186992464,-0.0448394762396149,-0.0573674446506043,-0.0710720405965726,-0.0434611101344373,20262923,20262924
R03,TDC OOF,Aromatic ring,yes,11,4310,False,exploratory_paired_row_bootstrap,exploratory_paired_row_bootstrap,0.5981343935030495,0.6393705223506033,0.644544000087703,-0.0412361288475537,-0.0500374655189067,-0.0323717075963105,-0.0464096065846534,-0.055077755433096,-0.0377939766002381,20262933,20262934
R03,TDC OOF,N-containing heterocycle,no,12,6497,False,exploratory_paired_row_bootstrap,exploratory_paired_row_bootstrap,0.6392259677251965,0.6915825257947052,0.6906126194070956,-0.0523565580695087,-0.0614780103101989,-0.0430970645388538,-0.0513866516818991,-0.0607440849649821,-0.0425385173236681,20262943,20262944
R03,TDC OOF,N-containing heterocycle,yes,13,1488,False,exploratory_paired_row_bootstrap,exploratory_paired_row_bootstrap,0.6511333124402356,0.6879601743611424,0.7028750379063172,-0.0368268619209067,-0.0528769177709736,-0.0205880634987149,-0.0517417254660815,-0.0672514825047545,-0.0360583609675027,20262953,20262954
R03,TDC OOF,Carboxyl group,no,14,6804,False,exploratory_paired_row_bootstrap,exploratory_paired_row_bootstrap,0.6413778730382117,0.6848829566991887,0.69836667319296,-0.043505083660977,-0.0523533672910756,-0.0347939433975209,-0.0569888001547482,-0.0656359314457206,-0.0483816980108791,20262963,20262964
R03,TDC OOF,Carboxyl group,yes,15,1181,False,exploratory_paired_row_bootstrap,exploratory_paired_row_bootstrap,0.6418310186872817,0.7256162338325994,0.6613898393629127,-0.0837852151453177,-0.1047814708834904,-0.0625623746221555,-0.019558820675631,-0.0396394684771134,0.0009864363299967,20262973,20262974
