evaluation_id,evaluation,n,configuration_id,representation_1,representation_2,predictor,rmse,mae,bias,dlg_sol_rmse,dlg_sol_lower_point_estimate
R02,ComPlat OOF after global preselection,17937,chemberta__murcko_gnn__rf,ChemBERTa,Murcko-subgroup GNN,random forest,0.9561549591652945,0.6304812545425896,0.0026638713875006517,0.879214,True
R02,ComPlat OOF after global preselection,17937,mordred__chemberta__rf,Mordred,ChemBERTa,random forest,0.9600229756753993,0.6371738481726421,0.002043766698532549,0.879214,True
R02,ComPlat OOF after global preselection,17937,mordred__three_d_gnn__rf,Mordred,3D-MPNN,random forest,0.9624258005266157,0.6161447877011761,-0.006409770804673926,0.879214,True
R02,ComPlat OOF after global preselection,17937,chemberta__three_d_gnn__xgb,ChemBERTa,3D-MPNN,XGBoost,0.9634911343886072,0.6417513185925171,0.0002604013193945487,0.879214,True
R02,ComPlat OOF after global preselection,17937,mordred__three_d_gnn__xgb,Mordred,3D-MPNN,XGBoost,0.9668962336805078,0.6340001041684268,-0.003724749852870039,0.879214,True
R02,ComPlat OOF after global preselection,17937,mordred__ecfp__mlp,Mordred,ECFP,multilayer perceptron,0.9678391393032321,0.6422892067524177,0.02756099735610568,0.879214,True
R02,ComPlat OOF after global preselection,17937,chemberta__atom_gnn__ridge,ChemBERTa,atom-level 2D GNN,ridge regression,0.9705708312548313,0.6446874063034774,0.0023310842552932195,0.879214,True
R02,ComPlat OOF after global preselection,17937,mordred__atom_gnn__rf,Mordred,atom-level 2D GNN,random forest,0.9711763541194453,0.6367869790269906,-0.002428130957764246,0.879214,True
R02,ComPlat OOF after global preselection,17937,chemberta__three_d_gnn__mlp,ChemBERTa,3D-MPNN,multilayer perceptron,0.9712475657519546,0.6400746433049724,0.004463796759361037,0.879214,True
R02,ComPlat OOF after global preselection,17937,ecfp__chemberta__rf,ECFP,ChemBERTa,random forest,0.9713198438550097,0.6476032151852475,0.0025208298706529864,0.879214,True
R02,ComPlat OOF after global preselection,17937,chemberta__brics_gnn__xgb,ChemBERTa,BRICS-subgroup GNN,XGBoost,0.9721049617923399,0.647595662655428,0.002370469731449515,0.879214,True
R02,ComPlat OOF after global preselection,17937,chemberta__brics_gnn__ridge,ChemBERTa,BRICS-subgroup GNN,ridge regression,0.9728406279121027,0.6453697813086597,-0.0014414242258111586,0.879214,True
R02,ComPlat OOF after global preselection,17937,mordred__chemberta__ridge,Mordred,ChemBERTa,ridge regression,0.9741886742527576,0.6513652539752014,0.0005833477147036983,0.879214,True
R02,ComPlat OOF after global preselection,17937,chemberta__murcko_gnn__ridge,ChemBERTa,Murcko-subgroup GNN,ridge regression,0.9749079651829123,0.6515263535764357,0.0027530466068116516,0.879214,True
R02,ComPlat OOF after global preselection,17937,chemberta__murcko_gnn__xgb,ChemBERTa,Murcko-subgroup GNN,XGBoost,0.9756910699358086,0.6544642153832163,0.003906359028563865,0.879214,True
R02,ComPlat OOF after global preselection,17937,mordred__three_d_gnn__mlp,Mordred,3D-MPNN,multilayer perceptron,0.9761605172737179,0.6283646835014017,0.007138491373649587,0.879214,True
R02,ComPlat OOF after global preselection,17937,mordred__atom_gnn__mlp,Mordred,atom-level 2D GNN,multilayer perceptron,0.9765386641177207,0.650260398087458,0.02553218035733852,0.879214,True
R02,ComPlat OOF after global preselection,17937,chemberta__atom_gnn__xgb,ChemBERTa,atom-level 2D GNN,XGBoost,0.9766408503234856,0.6508012746546156,0.0062204257627384825,0.879214,True
R02,ComPlat OOF after global preselection,17937,ecfp__chemberta__ridge,ECFP,ChemBERTa,ridge regression,0.9775441173972298,0.6545619956157804,0.002046768564534212,0.879214,True
R02,ComPlat OOF after global preselection,17937,mordred__three_d_gnn__ridge,Mordred,3D-MPNN,ridge regression,0.9790040692872385,0.6580395546172172,-0.0044741310475736856,0.879214,True
R02,ComPlat OOF after global preselection,17937,mordred__chemberta__mlp,Mordred,ChemBERTa,multilayer perceptron,0.9805185317840941,0.6513159769710722,0.005340626925859183,0.879214,True
R02,ComPlat OOF after global preselection,17937,ecfp__chemberta__mlp,ECFP,ChemBERTa,multilayer perceptron,0.9832244302276553,0.6626259427591854,0.00026333562928828263,0.879214,True
R02,ComPlat OOF after global preselection,17937,chemberta__three_d_gnn__knn,ChemBERTa,3D-MPNN,k-nearest neighbours,0.9835232140844709,0.6719975409769499,-0.03323821380888616,0.879214,True
R02,ComPlat OOF after global preselection,17937,brics_gnn__three_d_gnn__rf,BRICS-subgroup GNN,3D-MPNN,random forest,0.98472358337364,0.6468877816470459,-0.009496688341115677,0.879214,True
R02,ComPlat OOF after global preselection,17937,chemberta__atom_gnn__mlp,ChemBERTa,atom-level 2D GNN,multilayer perceptron,0.9884584106925206,0.6655637874667951,-0.010935322829844012,0.879214,True
